step,sensor,pos_x,pos_y,pos_z,ori_l,ori_i,ori_j,ori_k,vel_a,vel_b,vel_c
0,IMU,0.000004,0.000152,0.000149,1.000000,0.000027,-0.000023,-0.000023,0.000790,0.030384,0.029765
1,IMU,0.000010,0.000601,0.000599,1.000000,0.000016,-0.000020,-0.000095,0.000331,0.059377,0.060193
2,IMU,0.000011,0.001346,0.001348,1.000000,-0.000037,0.000021,-0.000156,0.000027,0.089726,0.089601
3,DEPTH,0.000012,0.001382,-4.941391,0.999999,-0.013333,0.000131,-0.000156,0.000047,0.092109,-0.060933
4,IMU,0.000011,0.002449,-4.941861,0.999911,-0.013355,0.000184,-0.000139,-0.000089,0.121255,-0.032929
5,IMU,0.000013,0.003807,-4.942050,0.999911,-0.013339,0.000233,-0.000164,0.000413,0.150441,-0.005015
6,IMU,0.000020,0.005459,-4.941963,0.999911,-0.013320,0.000310,-0.000167,0.000972,0.179923,0.022439
7,DEPTH,0.000020,0.005423,-4.937282,0.999897,-0.009864,0.000303,-0.000166,0.000970,0.178727,0.036686
8,IMU,0.000029,0.007355,-4.936773,0.999951,-0.009890,0.000263,-0.000191,0.000924,0.207756,0.065138
9,IMU,0.000037,0.009574,-4.935986,0.999950,-0.009963,0.000278,-0.000178,0.000661,0.236130,0.092383
10,IMU,0.000044,0.012078,-4.934921,0.999950,-0.009955,0.000291,-0.000182,0.000659,0.264607,0.120485
11,DEPTH,0.000054,0.015077,-4.990036,1.000765,-0.137623,0.000678,-0.000208,0.000868,0.330183,-0.275547
12,IMU,0.000060,0.018551,-4.992696,0.990682,-0.136196,0.000636,-0.000130,0.000382,0.364796,-0.256481
13,IMU,0.000063,0.022363,-4.995165,0.990674,-0.136249,0.000653,-0.000179,0.000219,0.397540,-0.237416
14,IMU,0.000069,0.026500,-4.997445,0.990676,-0.136236,0.000683,-0.000245,0.000979,0.429927,-0.218500
15,DEPTH,0.000073,0.028820,-5.012642,0.991752,-0.193235,0.000762,-0.000268,0.001042,0.466014,-0.365856
16,IMU,0.000084,0.033655,-5.016224,0.981546,-0.191223,0.000702,-0.000222,0.001288,0.500870,-0.350446
17,IMU,0.000100,0.038839,-5.019658,0.981539,-0.191260,0.000651,-0.000254,0.001786,0.536012,-0.336402
18,IMU,0.000118,0.044376,-5.022951,0.981531,-0.191302,0.000603,-0.000220,0.001749,0.571346,-0.322265
19,DEPTH,0.000104,0.038990,-5.003777,0.977911,-0.103316,0.000407,-0.000210,0.001591,0.507063,-0.122050
20,IMU,0.000123,0.044213,-5.004900,0.994466,-0.105057,0.000428,-0.000260,0.002102,0.537519,-0.102656
21,IMU,0.000147,0.049736,-5.005830,0.994469,-0.105031,0.000456,-0.000237,0.002707,0.567072,-0.083337
22,IMU,0.000176,0.055555,-5.006566,0.994466,-0.105055,0.000473,-0.000122,0.003164,0.596693,-0.063923
23,DEPTH,0.000194,0.060231,-5.017654,0.997843,-0.160092,0.000685,-0.000120,0.003346,0.643489,-0.176678
24,IMU,0.000226,0.066826,-5.019345,0.987375,-0.158402,0.000675,-0.000151,0.003028,0.675446,-0.161387
25,IMU,0.000255,0.073737,-5.020878,0.987381,-0.158359,0.000613,-0.000158,0.002667,0.706783,-0.145349
26,IMU,0.000287,0.080961,-5.022258,0.987378,-0.158383,0.000670,-0.000203,0.003737,0.738033,-0.130587
27,DEPTH,0.000164,0.055409,-4.977566,0.969701,0.069579,-0.000409,-0.000223,0.002680,0.521221,0.305838
28,IMU,0.000187,0.060730,-4.974374,0.997437,0.071547,-0.000420,-0.000157,0.002027,0.542924,0.332576
29,IMU,0.000206,0.066261,-4.970913,0.997437,0.071552,-0.000392,-0.000075,0.001686,0.563385,0.359630
30,IMU,0.000221,0.071996,-4.967183,0.997439,0.071523,-0.000351,-0.000054,0.001346,0.583500,0.386337
31,DEPTH,0.000198,0.066666,-4.959888,0.994344,0.108778,-0.000529,-0.000064,0.001162,0.542080,0.452133
32,IMU,0.000211,0.072178,-4.955226,0.994069,0.108754,-0.000462,-0.000086,0.001512,0.560284,0.480319
33,IMU,0.000229,0.077869,-4.950282,0.994070,0.108739,-0.000445,-0.000091,0.002136,0.577948,0.508492
