t,x,y,z,vx,vy,vz
1.0000,0.194269,0.195617,-0.013955,0.351520,0.359757,-0.001757
2.0000,0.652354,0.658460,-0.018340,0.546942,0.540808,-0.013823
3.0000,1.264553,1.262930,-0.015937,0.668689,0.672472,0.006108
4.0000,1.977331,1.973221,-0.015678,0.758155,0.753298,-0.004574
5.0000,2.795801,2.782535,-0.026612,0.876579,0.868021,-0.003489
6.0000,3.725175,3.704097,-0.035850,0.977008,0.971873,-0.011576
7.0000,4.744081,4.728372,-0.052050,1.065015,1.063756,-0.018567
8.0000,5.851835,5.833534,-0.081867,1.152563,1.149907,-0.042226
9.0000,7.057604,7.025269,-0.133536,1.255156,1.229520,-0.053441
10.0000,8.352140,8.304058,-0.192794,1.338779,1.322578,-0.065609
11.0000,9.734939,9.677078,-0.261985,1.436649,1.433728,-0.066264
12.0000,11.211998,11.147401,-0.344267,1.524469,1.511261,-0.099359
13.0000,12.775588,12.702995,-0.450810,1.612818,1.607908,-0.120510
14.0000,14.424862,14.352280,-0.592321,1.692538,1.695692,-0.158585
15.0000,16.154335,16.096749,-0.767603,1.764903,1.785303,-0.199596
16.0000,17.968723,17.914657,-0.993173,1.854894,1.861503,-0.251564
17.0000,19.867871,19.815686,-1.275654,1.943151,1.944398,-0.305312
18.0000,21.855347,21.798333,-1.600012,2.032787,2.021487,-0.352995
19.0000,23.926647,23.859853,-1.985981,2.111837,2.100409,-0.418783
20.0000,26.076595,26.001866,-2.437737,2.181436,2.180800,-0.483455
21.0000,28.295831,28.217455,-2.957889,2.255982,2.255554,-0.566781
22.0000,30.600427,30.513805,-3.567158,2.339521,2.335360,-0.654092
23.0000,32.975389,32.878522,-4.256373,2.411764,2.404805,-0.726917
24.0000,35.419812,35.319709,-5.041840,2.476851,2.477858,-0.835684
25.0000,37.938137,37.832017,-5.922966,2.556310,2.548754,-0.935751
26.0000,40.518732,40.414888,-6.901631,2.610458,2.616759,-1.031747
27.0000,43.164846,43.068322,-7.995742,2.683882,2.686886,-1.147995
28.0000,45.876924,45.786175,-9.208220,2.738832,2.744042,-1.276930
29.0000,48.647828,48.561333,-10.551309,2.797123,2.803871,-1.399263
30.0000,51.475052,51.395724,-12.014871,2.863025,2.863655,-1.535131
31.0000,54.369881,54.285546,-13.612394,2.922797,2.922097,-1.672634
32.0000,57.328502,57.237179,-15.351986,2.985786,2.978981,-1.807823
33.0000,60.337417,60.237421,-17.233039,3.037050,3.028286,-1.959140
34.0000,63.396476,63.288214,-19.264820,3.083088,3.079361,-2.108902
35.0000,66.504395,66.395438,-21.460083,3.131070,3.129657,-2.275468
36.0000,69.656658,69.554671,-23.811317,3.177716,3.182702,-2.432378
37.0000,72.851168,72.753506,-26.326972,3.205150,3.215447,-2.603561
38.0000,76.082782,75.990959,-29.010297,3.249966,3.256327,-2.765865
39.0000,79.340617,79.256981,-31.858762,3.277700,3.281189,-2.928047
40.0000,82.641702,82.563044,-34.878243,3.324427,3.331147,-3.113059
41.0000,85.980966,85.899600,-38.070069,3.353570,3.345454,-3.278636
42.0000,89.345658,89.263905,-41.442622,3.377713,3.374944,-3.465853
43.0000,92.728443,92.655693,-44.994725,3.388067,3.400299,-3.641352
44.0000,96.129825,96.070812,-48.721285,3.413714,3.429921,-3.804412
45.0000,99.561312,99.508363,-52.615018,3.433977,3.440600,-3.986515
46.0000,103.008505,102.955200,-56.687344,3.455701,3.451793,-4.162478
47.0000,106.468323,106.415664,-60.939462,3.468272,3.469917,-4.335563
48.0000,109.945189,109.888874,-65.351615,3.487469,3.487514,-4.501049
49.0000,113.430088,113.386574,-69.937952,3.492592,3.498150,-4.674893
50.0000,116.927728,116.883083,-74.697871,3.497099,3.496651,-4.844010
51.0000,120.430243,120.375463,-79.614699,3.504603,3.495666,-4.994024
52.0000,123.928477,123.875578,-84.673388,3.499289,3.503304,-5.133429
53.0000,127.426195,127.374218,-89.894238,3.494241,3.497773,-5.292756
54.0000,130.911313,130.861419,-95.259945,3.477052,3.473966,-5.446105
55.0000,134.390401,134.338478,-100.772944,3.475488,3.478687,-5.581847
56.0000,137.862067,137.809787,-106.419835,3.468860,3.460290,-5.707767
57.0000,141.318789,141.267186,-112.183401,3.440416,3.452027,-5.816514
58.0000,144.749680,144.703027,-118.064448,3.423836,3.418726,-5.937665
59.0000,148.159185,148.106608,-124.057597,3.405408,3.392259,-6.055112
60.0000,151.555044,151.494303,-130.154232,3.386124,3.377808,-6.138992
61.0000,154.930697,154.861809,-136.335892,3.359631,3.352830,-6.228229
62.0000,158.271226,158.201955,-142.599302,3.336147,3.331221,-6.292268
63.0000,161.587181,161.521538,-148.927182,3.299081,3.302392,-6.353072
64.0000,164.863990,164.799960,-155.306608,3.256222,3.256500,-6.404128
65.0000,168.099745,168.035939,-161.727429,3.216506,3.211187,-6.436826
66.0000,171.290589,171.228556,-168.184521,3.168224,3.171560,-6.462517
67.0000,174.438549,174.382670,-174.657342,3.130189,3.130900,-6.477876
68.0000,177.539963,177.492815,-181.142446,3.078027,3.077889,-6.488889
69.0000,180.599479,180.546836,-187.619942,3.030221,3.023218,-6.473309
70.0000,183.607034,183.551687,-194.075617,2.992569,2.986419,-6.443900
71.0000,186.569081,186.509350,-200.503819,2.935089,2.931727,-6.416626
72.0000,189.475972,189.411969,-206.904959,2.875514,2.870803,-6.370781
73.0000,192.322709,192.253364,-213.243137,2.817003,2.810937,-6.306834
74.0000,195.105677,195.037331,-219.508977,2.748590,2.759553,-6.229019
75.0000,197.826453,197.760686,-225.696345,2.691634,2.684307,-6.135094
76.0000,200.480224,200.414104,-231.782243,2.616983,2.615880,-6.034575
77.0000,203.070288,202.992536,-237.750852,2.555481,2.541480,-5.901397
78.0000,205.584383,205.498159,-243.591697,2.485638,2.472049,-5.778691
79.0000,208.036772,207.937197,-249.306127,2.422393,2.404526,-5.639004
80.0000,210.412215,210.308298,-254.866310,2.337221,2.334518,-5.472963
81.0000,212.711589,212.605500,-260.260384,2.260048,2.259369,-5.307442
82.0000,214.932033,214.831165,-265.478729,2.185137,2.188733,-5.130096
83.0000,217.077549,216.980890,-270.515500,2.112967,2.108938,-4.932371
84.0000,219.150799,219.050138,-275.352059,2.025060,2.031968,-4.738141
85.0000,221.137020,221.044483,-279.980005,1.946348,1.955162,-4.515625
86.0000,223.042054,222.959651,-284.381770,1.858196,1.874587,-4.283094
87.0000,224.865125,224.788554,-288.547206,1.791251,1.791304,-4.040143
88.0000,226.607198,226.532823,-292.469900,1.695602,1.699380,-3.796666
89.0000,228.256018,228.193576,-296.131754,1.599854,1.619220,-3.528028
90.0000,229.820857,229.764553,-299.537115,1.516820,1.516178,-3.276157
91.0000,231.291630,231.227700,-302.680301,1.425548,1.424132,-3.005299
92.0000,232.669870,232.604057,-305.546505,1.324393,1.330248,-2.723450
93.0000,233.956698,233.891624,-308.128484,1.240899,1.247562,-2.438112
94.0000,235.157818,235.090550,-310.427751,1.151553,1.152492,-2.156091
95.0000,236.263626,236.197233,-312.447358,1.059502,1.055026,-1.872524
96.0000,237.277986,237.215257,-314.161197,0.974422,0.980775,-1.566511
97.0000,238.207670,238.149934,-315.564905,0.891741,0.885118,-1.240862
98.0000,239.050248,238.983804,-316.657487,0.796033,0.785022,-0.941164
99.0000,239.801340,239.724062,-317.442336,0.704265,0.692355,-0.627236
100.0000,240.449162,240.366831,-317.906913,0.591073,0.593282,-0.303865
101.0000,240.991743,240.911083,-318.066055,0.491442,0.500436,-0.007978
102.0000,241.437611,241.365444,-317.913578,0.401783,0.410518,0.311066
103.0000,241.794610,241.730689,-317.447024,0.309224,0.305095,0.627968
104.0000,242.055699,241.992676,-316.661790,0.209404,0.220455,0.937265
105.0000,242.225073,242.165561,-315.572920,0.124012,0.126852,1.246034
106.0000,242.305279,242.241823,-314.169869,0.022125,0.027001,1.558044
107.0000,242.282047,242.226096,-312.461505,-0.070198,-0.063259,1.864593
108.0000,242.169733,242.114351,-310.445528,-0.157330,-0.154392,2.162133
109.0000,241.966533,241.920727,-308.144338,-0.247110,-0.237837,2.439935
110.0000,241.676702,241.629569,-305.550439,-0.331898,-0.336392,2.743446
111.0000,241.294113,241.247628,-302.672235,-0.441572,-0.429316,3.016278
112.0000,240.813116,240.778263,-299.520264,-0.512184,-0.510732,3.286602
113.0000,240.256462,240.211364,-296.098533,-0.604023,-0.621535,3.555087
114.0000,239.606949,239.546988,-292.415419,-0.706348,-0.705632,3.812290
115.0000,238.869392,238.808760,-288.493094,-0.768464,-0.773199,4.046904
116.0000,238.053425,237.988695,-284.332409,-0.870030,-0.869209,4.282633
117.0000,237.146593,237.078384,-279.934296,-0.941581,-0.945249,4.515518
118.0000,236.158814,236.090186,-275.314215,-1.028105,-1.034874,4.729528
119.0000,235.091376,235.016502,-270.475177,-1.109918,-1.112422,4.940202
120.0000,233.940837,233.868172,-265.436342,-1.186020,-1.184109,5.132934
121.0000,232.718427,232.649945,-260.208228,-1.265774,-1.252689,5.324925
122.0000,231.423610,231.361416,-254.807436,-1.332873,-1.331620,5.476048
123.0000,230.054894,229.994140,-249.251055,-1.402645,-1.409777,5.624536
124.0000,228.611524,228.543733,-243.543247,-1.485654,-1.486876,5.781075
125.0000,227.097798,227.025299,-237.695345,-1.544477,-1.548789,5.917189
126.0000,225.520454,225.444040,-231.718779,-1.615804,-1.608975,6.030236
127.0000,223.866312,223.799573,-225.635651,-1.697249,-1.680471,6.139668
128.0000,222.148718,222.086194,-219.449984,-1.741486,-1.744087,6.233908
129.0000,220.371857,220.305228,-213.185176,-1.806857,-1.816807,6.302990
130.0000,218.540394,218.456009,-206.852019,-1.857817,-1.878013,6.359629
131.0000,216.644668,216.546446,-200.466055,-1.928494,-1.930593,6.416364
132.0000,214.690216,214.588103,-194.027121,-1.983231,-1.974473,6.449446
133.0000,212.679775,212.586224,-187.568577,-2.037667,-2.027378,6.471244
134.0000,210.625682,210.527403,-181.093337,-2.072602,-2.089961,6.483712
135.0000,208.532556,208.420732,-174.610716,-2.121803,-2.122205,6.487865
136.0000,206.388111,206.280457,-168.125834,-2.167558,-2.172845,6.484058
137.0000,204.196431,204.084037,-161.651491,-2.219318,-2.217498,6.463414
138.0000,201.956967,201.848028,-155.216842,-2.260780,-2.251950,6.414658
139.0000,199.680219,199.582906,-148.832044,-2.281166,-2.280013,6.355020
140.0000,197.382971,197.280521,-142.508791,-2.319185,-2.321811,6.290660
141.0000,195.049272,194.942517,-136.248815,-2.342257,-2.349917,6.223090
142.0000,192.684290,192.572445,-130.065886,-2.382427,-2.391396,6.140878
143.0000,190.291686,190.165856,-123.963826,-2.391299,-2.418320,6.056036
144.0000,187.880758,187.737338,-117.959207,-2.420707,-2.440353,5.947197
145.0000,185.451994,185.288580,-112.067214,-2.445239,-2.453217,5.838722
146.0000,182.999663,182.821518,-106.288365,-2.467692,-2.470228,5.717828
147.0000,180.525901,180.342847,-100.636832,-2.481299,-2.482315,5.586710
148.0000,178.042689,177.853177,-95.127676,-2.489307,-2.493658,5.432872
149.0000,175.553922,175.359253,-89.771769,-2.482811,-2.499078,5.281446
150.0000,173.070831,172.863166,-84.556179,-2.490074,-2.497439,5.143382
151.0000,170.576053,170.363151,-79.484189,-2.496309,-2.495771,4.992748
152.0000,168.079856,167.857551,-74.560924,-2.492534,-2.499314,4.841358
153.0000,165.581410,165.354360,-69.806622,-2.499392,-2.507595,4.657595
154.0000,163.086252,162.858335,-65.226335,-2.483496,-2.480267,4.495587
155.0000,160.609829,160.377959,-60.807802,-2.468346,-2.478147,4.326625
156.0000,158.148779,157.901392,-56.564862,-2.459155,-2.471047,4.160341
157.0000,155.696730,155.441547,-52.480354,-2.445420,-2.448847,3.989066
158.0000,153.257304,153.008032,-48.568047,-2.438042,-2.418948,3.826979
159.0000,150.830781,150.597099,-44.839626,-2.420858,-2.407482,3.634926
160.0000,148.430978,148.210492,-41.290932,-2.382970,-2.372498,3.455370
161.0000,146.056634,145.849670,-37.919077,-2.349184,-2.342341,3.289439
162.0000,143.722821,143.509878,-34.715499,-2.313151,-2.331434,3.116277
163.0000,141.424448,141.200596,-31.695036,-2.275761,-2.289628,2.937099
164.0000,139.158161,138.926195,-28.841302,-2.253686,-2.251961,2.767030
165.0000,136.926015,136.689306,-26.159141,-2.215432,-2.213893,2.602381
166.0000,134.731924,134.489482,-23.651698,-2.173017,-2.176317,2.431123
167.0000,132.578209,132.340729,-21.303617,-2.123348,-2.121818,2.265810
168.0000,130.478577,130.237124,-19.113947,-2.074858,-2.084871,2.111711
169.0000,128.428802,128.172382,-17.076046,-2.027641,-2.035934,1.959254
170.0000,126.427335,126.160970,-15.189245,-1.971998,-1.986991,1.814485
171.0000,124.476530,124.205241,-13.442577,-1.920300,-1.933001,1.671966
172.0000,122.581811,122.292064,-11.843610,-1.866855,-1.879122,1.526364
173.0000,120.748797,120.448001,-10.381806,-1.796214,-1.814027,1.395605
174.0000,118.971893,118.658836,-9.046337,-1.754813,-1.755658,1.270150
175.0000,117.261850,116.930480,-7.828729,-1.671820,-1.696533,1.154881
